Year,Player,AS.Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality,,AllStar
2016,Stephen Curry,G,03-Jun,190,Golden State Warriors,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 7,United States,,1
2016,James Harden,SG,05-Jun,220,Houston Rockets,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 3,United States,,1
2016,Kevin Durant,SF,09-Jun,240,Golden State Warriors,Western All-Star Fan Vote Selection,2007 Rnd 1 Pick 2,United States,,1
2016,Kawhi Leonard,F,07-Jun,230,San Antonio Spurs,Western All-Star Fan Vote Selection,2011 Rnd 1 Pick 15,United States,,1
2016,Anthony Davis,PF,11-Jun,253,New Orleans Pelicans,Western All-Star Fan Vote Selection,2012 Rnd 1 Pick 1,United States,,1
2016,Russell Westbrook,G,03-Jun,200,Oklahoma City Thunder,Western All-Star Coaches Selection,2008 Rnd 1 Pick 4,United States,,1
2016,DeMarcus Cousins,C,11-Jun,270,Sacramento Kings,Western All-Star Coaches Selection,2010 Rnd 1 Pick 5,United States,,1
2016,Klay Thompson,G,07-Jun,215,Golden State Warriors,Western All-Star Coaches Selection,2011 Rnd 1 Pick 11,United States,,1
2016,Draymond Green,F,07-Jun,230,Golden State Warriors,Western All-Star Coaches Selection,2012 Rnd 2 Pick 5,United States,,1
2016,Marc Gasol,C,01-Jul,255,Memphis Grizzlies,Western All-Star Coaches Selection,2007 Rnd 2 Pick 18,Spain,,1
2016,DeAndre Jordan,C,11-Jun,265,Los Angeles Clippers,Western All-Star Coaches Selection,2008 Rnd 2 Pick 5,United States,,1
2016,Gordon Hayward,GF,08-Jun,226,Utah Jazz,Western All-Star Coaches Selection,2010 Rnd 1 Pick 9,United States,,1
2016,Kyrie Irving,G,03-Jun,193,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2011 Rnd 1 Pick 1,"United States
Australia",,1
2016,DeMar DeRozan,GF,07-Jun,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,2009 Rnd 1 Pick 9,United States,,1
2016,LeBron James,F,08-Jun,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2016,Giannis Antetokounmpo,F,11-Jun,222,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,2013 Rnd 1 Pick 15,"Greece
Nigeria",,1
2016,Jimmy Butler,GF,07-Jun,231,Chicago Bulls,Eastern All-Star Fan Vote Selection,2011 Rnd 1 Pick 30,United States,,1
2016,Isaiah Thomas,PG,09-May,185,Boston Celtics,Eastern All-Star Coaches Selection,2011 Rnd 2 Pick 30,United States,,1
2016,John Wall,PG,04-Jun,210,Washington Wizards,Eastern All-Star Coaches Selection,2010 Rnd 1 Pick 1,United States,,1
